contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,contract_type,exp_date,current_price,mid_price,bid_ask_diff,moneyness,days_to_exp,T
AMZN260130P00252500,2026-01-28 19:54:45+00:00,252.5,14.09,14.05,16.15,4.2,42.467133,2.0,369,0.858399853515625,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,15.1,2.099999999999998,0.9468119101949257,0,0.0
AMZN260130P00255000,2026-01-29 14:56:41+00:00,255.0,15.65,16.0,18.65,3.1999998,25.702808,8.0,139,0.8906260937499999,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,17.325,2.6499999999999986,0.9375294404871324,0,0.0
AMZN260130P00257500,2026-01-28 18:38:07+00:00,257.5,14.9,18.05,21.05,0.0,0.0,15.0,25,0.9091805957031249,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,19.55,3.0,0.9284272129095874,0,0.0
AMZN260130P00260000,2026-01-28 20:11:40+00:00,260.0,17.05,21.35,23.5,0.0,0.0,130.0,114,1.0810592822265626,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,22.425,2.1499999999999986,0.9195000281700721,0,0.0
AMZN260130P00265000,2026-01-29 15:23:27+00:00,265.0,25.73,25.45,28.8,4.449999,20.911648,3.0,5,1.1596721704101562,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,27.125,3.3500000000000014,0.9021509710347877,0,0.0
AMZN260130P00267500,2026-01-29 15:01:44+00:00,267.5,29.5,27.75,31.3,-0.14999962,-0.5059009,2.0,2,1.2036172631835935,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,29.525,3.5500000000000007,0.8937196535484813,0,0.0
AMZN260130P00270000,2026-01-27 15:16:29+00:00,270.0,29.3,30.7,33.6,0.0,0.0,20.0,0,1.3115268798828121,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,32.15,2.900000000000002,0.8854444715711806,0,0.0
AMZN260130P00275000,2026-01-20 20:39:00+00:00,275.0,44.7,35.05,38.95,0.0,0.0,3.0,0,1.4013701806640624,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,37.0,3.9000000000000057,0.8693454811789773,0,0.0
AMZN260130P00285000,2026-01-14 14:40:04+00:00,285.0,45.5,44.95,48.95,0.0,0.0,2.0,0,1.6376971240234375,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,46.95,4.0,0.8388421309621711,0,0.0
AMZN260130P00290000,2026-01-27 14:39:44+00:00,290.0,51.26,50.25,53.7,0.0,0.0,40.0,0,1.767579287109375,True,REGULAR,USD,Puts,2026-01-30,239.07000732421875,51.975,3.450000000000003,0.8243793356007543,0,0.0
